Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,HIGH_TEMP,LOW_TEMP,AVG_TEMP
3/7/16,60750005,3,4.5,ug/m3 LC,19,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,58,50,54
3/8/16,60750005,3,5.1,ug/m3 LC,21,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,57,47,52
3/9/16,60750005,3,6.8,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,52,58.5
3/10/16,60750005,3,4,ug/m3 LC,17,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,53,58.5
3/11/16,60750005,3,4.8,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,60,52,56
3/12/16,60750005,3,5.5,ug/m3 LC,23,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,60,49,54.5
3/13/16,60750005,3,6.1,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,57,59
3/14/16,60750005,3,7.9,ug/m3 LC,33,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,51,56
3/15/16,60750005,3,8.2,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,47,55.5
3/16/16,60750005,3,9.5,ug/m3 LC,40,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,71,48,59.5
3/17/16,60750005,3,6.1,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,76,51,63.5
3/18/16,60750005,3,5.2,ug/m3 LC,22,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,63,52,57.5
3/19/16,60750005,3,3,ug/m3 LC,13,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,67,53,60
3/20/16,60750005,3,1.2,ug/m3 LC,5,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,54,60
3/21/16,60750005,3,7.1,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,54,59
3/22/16,60750005,3,6.8,ug/m3 LC,28,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,51,56
3/23/16,60750005,3,4.8,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,66,48,57
3/24/16,60750005,3,7.5,ug/m3 LC,31,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,50,57.5
3/25/16,60750005,3,11.2,ug/m3 LC,47,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,50,57.5
3/26/16,60750005,3,10.2,ug/m3 LC,43,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,65,52,58.5
3/27/16,60750005,3,4.1,ug/m3 LC,17,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,51,56.5
3/28/16,60750005,3,6.3,ug/m3 LC,26,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,59,49,54
3/29/16,60750005,3,8.5,ug/m3 LC,35,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,64,47,55.5
3/30/16,60750005,3,9.3,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,62,49,55.5
3/31/16,60750005,3,9.2,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,63,53,58
