Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/6/16 17:00,2016,1,6,17,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 18:00,2016,1,6,18,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 19:00,2016,1,6,19,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 20:00,2016,1,6,20,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 21:00,2016,1,6,21,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 22:00,2016,1,6,22,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/6/16 23:00,2016,1,6,23,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 0:00,2016,1,7,0,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 1:00,2016,1,7,1,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 2:00,2016,1,7,2,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 3:00,2016,1,7,3,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 4:00,2016,1,7,4,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 5:00,2016,1,7,5,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 6:00,2016,1,7,6,8,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 7:00,2016,1,7,7,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 8:00,2016,1,7,8,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 9:00,2016,1,7,9,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 10:00,2016,1,7,10,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 11:00,2016,1,7,11,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 12:00,2016,1,7,12,6,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 13:00,2016,1,7,13,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 14:00,2016,1,7,14,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 15:00,2016,1,7,15,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 16:00,2016,1,7,16,11,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 17:00,2016,1,7,17,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 18:00,2016,1,7,18,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 19:00,2016,1,7,19,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 20:00,2016,1,7,20,18,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 21:00,2016,1,7,21,12,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 22:00,2016,1,7,22,18,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/7/16 23:00,2016,1,7,23,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 0:00,2016,1,8,0,17,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 1:00,2016,1,8,1,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 2:00,2016,1,8,2,14,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 3:00,2016,1,8,3,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 4:00,2016,1,8,4,7,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 5:00,2016,1,8,5,6,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 6:00,2016,1,8,6,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 7:00,2016,1,8,7,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 8:00,2016,1,8,8,16,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 9:00,2016,1,8,9,21,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 10:00,2016,1,8,10,19,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 11:00,2016,1,8,11,15,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 12:00,2016,1,8,12,22,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 13:00,2016,1,8,13,17,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 14:00,2016,1,8,14,13,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 15:00,2016,1,8,15,10,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 16:00,2016,1,8,16,9,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 17:00,2016,1,8,17,18,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 18:00,2016,1,8,18,61,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 19:00,2016,1,8,19,99,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 20:00,2016,1,8,20,124,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 21:00,2016,1,8,21,135,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 22:00,2016,1,8,22,137,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/8/16 23:00,2016,1,8,23,138,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 0:00,2016,1,9,0,136,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 1:00,2016,1,9,1,124,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 2:00,2016,1,9,2,85,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 3:00,2016,1,9,3,82,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 4:00,2016,1,9,4,74,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 5:00,2016,1,9,5,48,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 6:00,2016,1,9,6,33,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 7:00,2016,1,9,7,28,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 8:00,2016,1,9,8,28,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/9/16 9:00,2016,1,9,9,25,µg/m_,1 Hr,Valid
